"","id","itemTime","trialnumber","kind","expression","access","observation","state","RT","value"
"1","A149ROBL26JWPJ:33FOTY3KENTQ4RO4IZ9RCBIMQ5LC1D",1480201837227,1,"c","is_probably likely",6,4,NA,26777,64
"2","A149ROBL26JWPJ:33FOTY3KENTQ4RO4IZ9RCBIMQ5LC1D",1480201855784,2,"f","might_be likely",NA,NA,6,18556,NA
"3","A149ROBL26JWPJ:33FOTY3KENTQ4RO4IZ9RCBIMQ5LC1D",1480201882790,3,"c","is_certainly likely",7,6,NA,27005,76
"4","A149ROBL26JWPJ:33FOTY3KENTQ4RO4IZ9RCBIMQ5LC1D",1480201893132,4,"f","is_certainly unlikely",NA,NA,2,10340,NA
"5","A149ROBL26JWPJ:33FOTY3KENTQ4RO4IZ9RCBIMQ5LC1D",1480201904720,5,"c","is likely",7,6,NA,11586,76
"6","A149ROBL26JWPJ:33FOTY3KENTQ4RO4IZ9RCBIMQ5LC1D",1480201909201,6,"f","might_be possible",NA,NA,4,4479,NA
"7","A149ROBL26JWPJ:33FOTY3KENTQ4RO4IZ9RCBIMQ5LC1D",1480201928616,7,"c","is possible",6,3,NA,19414,63
"8","A149ROBL26JWPJ:33FOTY3KENTQ4RO4IZ9RCBIMQ5LC1D",1480201935209,8,"f","is_probably possible",NA,NA,6,6592,NA
"9","A149ROBL26JWPJ:33FOTY3KENTQ4RO4IZ9RCBIMQ5LC1D",1480201944645,9,"c","is unlikely",7,2,NA,9434,72
"10","A149ROBL26JWPJ:33FOTY3KENTQ4RO4IZ9RCBIMQ5LC1D",1480201948656,10,"f","is possible",NA,NA,5,4010,NA
"11","A149ROBL26JWPJ:33FOTY3KENTQ4RO4IZ9RCBIMQ5LC1D",1480201963105,11,"c","is_certainly possible",6,4,NA,14446,64
"12","A149ROBL26JWPJ:33FOTY3KENTQ4RO4IZ9RCBIMQ5LC1D",1480201967505,12,"f","is unlikely",NA,NA,2,4399,NA
"13","A149ROBL26JWPJ:33FOTY3KENTQ4RO4IZ9RCBIMQ5LC1D",1480201977332,13,"c","might_be likely",6,4,NA,9826,64
"14","A149ROBL26JWPJ:33FOTY3KENTQ4RO4IZ9RCBIMQ5LC1D",1480201980455,14,"f","is likely",NA,NA,8,3120,NA
