"","expression","access","ci.low","mean","ci.high"
"1","is likely",1,0.963,0.963,2.037
"2","is possible",1,2.957,2.957,3.06799999999998
"3","is unlikely",1,0.926,0.926,2.074
"4","is_certainly likely",1,0,0,0
"5","is_certainly possible",1,0,0,0
"6","is_certainly unlikely",1,0,0,0
"7","is_probably likely",1,0,0,0
"8","is_probably possible",1,2.01,2.01,3.99
"9","is_probably unlikely",1,1.899,1.899,3.101
"10","might_be likely",1,1.027,1.027,1.973
"11","might_be possible",1,0.993,0.993,2.007
"12","might_be unlikely",1,0.993,0.993,2.007
"13","is likely",2,2.028,2.028,2.972
"14","is possible",2,3.076,3.076,3.924
"15","is unlikely",2,0.993,0.993,2.007
"16","is_certainly likely",2,0,0,0
"17","is_certainly possible",2,2.9,2.9,4.1
"18","is_certainly unlikely",2,2.039,2.039,2.961
"19","is_probably likely",2,1.003,1.003,1.997
"20","is_probably possible",2,2.985,3.985,4.015
"21","is_probably unlikely",2,3.047,4.047,3.953
"22","might_be likely",2,3.033,3.033,3.967
"23","might_be possible",2,4.947,7.947,6.053
"24","might_be unlikely",2,4.134,5.134,4.866
"25","is likely",3,2.919,3.919,4.081
"26","is possible",3,3.984,4.984,5.016
"27","is unlikely",3,3.948,4.948,4.052
"28","is_certainly likely",3,2.026,2.026,2.99899999999998
"29","is_certainly possible",3,4.917,6.917,5.083
"30","is_certainly unlikely",3,2.972,2.972,4.028
"31","is_probably likely",3,4.846,6.846,5.154
"32","is_probably possible",3,4.164,7.164,5.836
"33","is_probably unlikely",3,5.907,9.907,5.093
"34","might_be likely",3,5.031,9.031,5.969
"35","might_be possible",3,4.911,9.886,6.114
"36","might_be unlikely",3,4.033,6.033,4.967
"37","is likely",4,6.928,16.928,7.072
"38","is possible",4,9.97,34.97,10.055
"39","is unlikely",4,7.872,18.872,8.128
"40","is_certainly likely",4,6.771,14.771,8.229
"41","is_certainly possible",4,8.199,20.199,7.801
"42","is_certainly unlikely",4,6.103,12.103,5.897
"43","is_probably likely",4,5.951,11.951,6.049
"44","is_probably possible",4,9.057,27.057,8.943
"45","is_probably unlikely",4,9.04,25.04,9.96
"46","might_be likely",4,9.007,27.007,8.993
"47","might_be possible",4,9.085,28.085,8.915
"48","might_be unlikely",4,8.826,28.826,9.174
"49","is likely",5,7.975,18.975,9.025
"50","is possible",5,8.919,23.919,9.081
"51","is unlikely",5,7.994,26.994,10.006
"52","is_certainly likely",5,6.918,15.918,8.082
"53","is_certainly possible",5,7.213,15.213,7.787
"54","is_certainly unlikely",5,7.088,19.088,7.912
"55","is_probably likely",5,8.228,25.228,8.772
"56","is_probably possible",5,9.115,25.115,8.885
"57","is_probably unlikely",5,8.06,22.06,8.94
"58","might_be likely",5,8.17,23.17,8.83
"59","might_be possible",5,9.106,26.106,9.894
"60","might_be unlikely",5,6.833,16.833,8.167
"61","is likely",6,10.959,46.959,11.041
"62","is possible",6,11.604,56.604,12.396
"63","is unlikely",6,10.301,45.301,11.699
"64","is_certainly likely",6,11.019,43.019,10.981
"65","is_certainly possible",6,10.792,50.767,11.258
"66","is_certainly unlikely",6,10.768,43.743,11.257
"67","is_probably likely",6,12.029,57.029,11.971
"68","is_probably possible",6,10.973,47.973,12.027
"69","is_probably unlikely",6,11.031,50.006,10.994
"70","might_be likely",6,11.187,51.187,11.813
"71","might_be possible",6,11.929,56.904,12.096
"72","might_be unlikely",6,11.084,54.084,11.916
"73","is likely",7,9.824,27.824,9.176
"74","is possible",7,4.974,10.974,7.026
"75","is unlikely",7,7.974,24.974,9.026
"76","is_certainly likely",7,10.036,33.036,9.964
"77","is_certainly possible",7,8.937,27.937,10.063
"78","is_certainly unlikely",7,9.077,29.077,8.94799999999998
"79","is_probably likely",7,9.183,26.183,9.817
"80","is_probably possible",7,7.943,19.943,8.057
"81","is_probably unlikely",7,6.961,17.961,8.039
"82","might_be likely",7,8.756,22.756,9.244
"83","might_be possible",7,5.96,10.96,7.04
"84","might_be unlikely",7,9.197,26.197,9.803
"85","is likely",8,8.756,25.756,9.244
"86","is possible",8,6.019,10.019,6.981
"87","is unlikely",8,8.176,21.151,7.849
"88","is_certainly likely",8,9.119,31.119,9.881
"89","is_certainly possible",8,6.903,14.903,8.097
"90","is_certainly unlikely",8,8.127,23.127,9.873
"91","is_probably likely",8,7.884,20.884,8.116
"92","is_probably possible",8,4.945,9.92,6.08
"93","is_probably unlikely",8,6.29,16.29,7.71
"94","might_be likely",8,6.083,11.083,6.917
"95","might_be possible",8,4.877,6.877,5.123
"96","might_be unlikely",8,4.988,7.988,6.012
"97","is likely",9,2.923,2.923,4.077
"98","is possible",9,0,0,0
"99","is unlikely",9,3.011,3.011,3.989
"100","is_certainly likely",9,3.969,4.969,5.031
"101","is_certainly possible",9,3.86,4.86,4.16499999999998
"102","is_certainly unlikely",9,4.939,9.939,6.061
"103","is_probably likely",9,0,0,0
"104","is_probably possible",9,2.05,2.05,2.95
"105","is_probably unlikely",9,2.055,2.055,2.945
"106","might_be likely",9,0.996,0.996,2.004
"107","might_be possible",9,0,0,0
"108","might_be unlikely",9,1.991,1.991,3.009
"109","is likely",10,3,3,4
"110","is possible",10,2.016,2.016,2.984
"111","is unlikely",10,3.114,3.114,3.886
"112","is_certainly likely",10,4.04,5.04,4.96
"113","is_certainly possible",10,4.012,6.012,4.988
"114","is_certainly unlikely",10,5.015,8.015,5.985
"115","is_probably likely",10,0.977,0.977,2.023
"116","is_probably possible",10,3.916,4.916,5.084
"117","is_probably unlikely",10,1.005,1.005,1.995
"118","might_be likely",10,1.026,1.026,1.974
"119","might_be possible",10,2.036,2.036,2.964
"120","might_be unlikely",10,2.008,2.008,2.992
