"","expression","state","ci.low","mean","ci.high"
"1","is likely",0,0,0,0
"2","is possible",0,0,0,0
"3","is unlikely",0,2.851,3.851,4.149
"4","is_certainly likely",0,0,0,0
"5","is_certainly possible",0,0,0,0
"6","is_certainly unlikely",0,5.047,8.047,5.953
"7","is_probably likely",0,0,0,0
"8","is_probably possible",0,0,0,0
"9","is_probably unlikely",0,3.072,3.072,3.928
"10","might_be likely",0,1.014,1.014,1.986
"11","might_be possible",0,1.951,1.951,3.049
"12","might_be unlikely",0,2.013,2.013,2.987
"13","is likely",1,1.003,1.003,1.997
"14","is possible",1,1.02,1.02,1.98
"15","is unlikely",1,8.004,19.004,8.996
"16","is_certainly likely",1,0.992,0.992,2.008
"17","is_certainly possible",1,0,0,0
"18","is_certainly unlikely",1,11.739,44.739,11.261
"19","is_probably likely",1,0.987,0.987,2.013
"20","is_probably possible",1,0,0,0
"21","is_probably unlikely",1,6.044,9.044,6.956
"22","might_be likely",1,0,0,0
"23","might_be possible",1,2.942,3.942,4.058
"24","might_be unlikely",1,5.876,10.876,7.124
"25","is likely",2,3.054,4.054,3.946
"26","is possible",2,1.99,1.99,3.01
"27","is unlikely",2,11.327,48.327,11.673
"28","is_certainly likely",2,1.918,1.918,3.082
"29","is_certainly possible",2,2.083,2.083,2.917
"30","is_certainly unlikely",2,10.02,44.995,11.005
"31","is_probably likely",2,0.987,0.987,2.013
"32","is_probably possible",2,3.87,5.87,5.13
"33","is_probably unlikely",2,8.978,33.978,9.04699999999998
"34","might_be likely",2,4.05,5.05,4.95
"35","might_be possible",2,2.996,3.996,4.004
"36","might_be unlikely",2,8.045,19.045,7.955
"37","is likely",3,1.063,1.063,2.937
"38","is possible",3,6.19,14.19,7.81
"39","is unlikely",3,10.214,41.214,11.786
"40","is_certainly likely",3,2.976,2.976,4.024
"41","is_certainly possible",3,1.893,1.893,3.107
"42","is_certainly unlikely",3,6.982,15.982,8.018
"43","is_probably likely",3,5.08,7.08,5.92
"44","is_probably possible",3,6.088,13.088,7.912
"45","is_probably unlikely",3,9.974,44.974,11.026
"46","might_be likely",3,5.155,10.155,5.845
"47","might_be possible",3,6.99,14.99,7.01
"48","might_be unlikely",3,11.365,49.365,11.635
"49","is likely",4,5.883,9.883,6.117
"50","is possible",4,6.932,14.932,7.068
"51","is unlikely",4,5.019,10.019,5.981
"52","is_certainly likely",4,3.93,5.93,5.07
"53","is_certainly possible",4,5.988,12.988,7.012
"54","is_certainly unlikely",4,4.039,6.039,4.961
"55","is_probably likely",4,4.937,6.937,5.063
"56","is_probably possible",4,8.155,18.155,7.845
"57","is_probably unlikely",4,9.056,28.056,8.96899999999998
"58","might_be likely",4,7.169,17.169,7.831
"59","might_be possible",4,8.747,24.747,9.253
"60","might_be unlikely",4,9.796,35.796,10.204
"61","is likely",5,7.952,16.952,9.048
"62","is possible",5,13.162,70.162,12.838
"63","is unlikely",5,4.935,7.935,6.065
"64","is_certainly likely",5,7.025,17.025,7.975
"65","is_certainly possible",5,10.988,52.988,11.012
"66","is_certainly unlikely",5,5.885,10.885,7.115
"67","is_probably likely",5,7.927,21.927,8.073
"68","is_probably possible",5,10.692,39.692,10.308
"69","is_probably unlikely",5,5.017,8.017,5.983
"70","might_be likely",5,10.909,40.909,10.116
"71","might_be possible",5,11.02,55.02,11.98
"72","might_be unlikely",5,5.831,11.831,6.169
"73","is likely",6,10.028,38.028,10.972
"74","is possible",6,9.104,30.104,9.896
"75","is unlikely",6,6.077,11.077,5.923
"76","is_certainly likely",6,8.008,19.008,7.992
"77","is_certainly possible",6,9.975,34.975,10.025
"78","is_certainly unlikely",6,4.099,6.099,4.901
"79","is_probably likely",6,10.943,46.943,11.057
"80","is_probably possible",6,10.051,39.051,10.949
"81","is_probably unlikely",6,5.94,12.94,7.06
"82","might_be likely",6,11.868,50.868,12.132
"83","might_be possible",6,8.862,26.862,10.138
"84","might_be unlikely",6,6.002,14.002,6.998
"85","is likely",7,10.818,45.818,10.207
"86","is possible",7,5.984,11.984,8.016
"87","is unlikely",7,2.951,3.951,4.049
"88","is_certainly likely",7,9.321,32.321,10.679
"89","is_certainly possible",7,8.865,25.865,9.135
"90","is_certainly unlikely",7,4.93,7.93,6.07
"91","is_probably likely",7,10.312,46.312,11.688
"92","is_probably possible",7,9.237,28.237,9.763
"93","is_probably unlikely",7,3.835,5.835,5.165
"94","might_be likely",7,8.074,18.074,7.926
"95","might_be possible",7,5.848,12.848,7.152
"96","might_be unlikely",7,3.078,3.078,3.922
"97","is likely",8,8.907,25.907,9.11799999999998
"98","is possible",8,3.123,4.123,3.877
"99","is unlikely",8,2.935,2.935,4.065
"100","is_certainly likely",8,10.237,41.237,10.763
"101","is_certainly possible",8,5.988,11.988,7.012
"102","is_certainly unlikely",8,4.031,5.031,4.969
"103","is_probably likely",8,5.926,12.926,7.074
"104","is_probably possible",8,4.016,5.016,4.984
"105","is_probably unlikely",8,0.964,0.964,2.036
"106","might_be likely",8,3.934,5.934,5.066
"107","might_be possible",8,2.978,2.978,4.022
"108","might_be unlikely",8,3.051,3.051,3.949
"109","is likely",9,4.013,6.013,4.987
"110","is possible",9,1.005,1.005,1.995
"111","is unlikely",9,1.015,1.015,2.985
"112","is_certainly likely",9,8.655,21.655,9.345
"113","is_certainly possible",9,3.99,5.99,5.01
"114","is_certainly unlikely",9,0,0,0
"115","is_probably likely",9,4.1,5.1,3.9
"116","is_probably possible",9,0.96,0.96,2.04
"117","is_probably unlikely",9,2.003,2.003,2.997
"118","might_be likely",9,0,0,0
"119","might_be possible",9,0.964,0.964,2.036
"120","might_be unlikely",9,1.004,1.004,1.996
"121","is likely",10,1.027,1.027,1.973
"122","is possible",10,0.985,0.985,2.015
"123","is unlikely",10,1.037,1.037,1.963
"124","is_certainly likely",10,3.965,6.94,6.06
"125","is_certainly possible",10,1.012,1.012,1.988
"126","is_certainly unlikely",10,0,0,0
"127","is_probably likely",10,0.996,0.996,2.004
